Id,Geography,Total; Estimate; Total population
1600000US0166216,"Rogersville town, Alabama",1134
1600000US0166408,"Rosa town, Alabama",493
1600000US0167056,"Russellville city, Alabama",9715
1600000US0167176,"Rutledge town, Alabama",355
1600000US0167536,"St. Florian town, Alabama",432
1600000US0167584,"St. Stephens CDP, Alabama",486
1600000US0167608,"Saks CDP, Alabama",10535
1600000US0167800,"Samson city, Alabama",2046
1600000US0167920,"Sand Rock town, Alabama",475
1600000US0168016,"Sanford town, Alabama",173
1600000US0168160,"Saraland city, Alabama",14026
1600000US0168280,"Sardis City town, Alabama",1649
1600000US0168352,"Satsuma city, Alabama",6145
1600000US0168736,"Scottsboro city, Alabama",14584
1600000US0169000,"Section town, Alabama",846
1600000US0169120,"Selma city, Alabama",19176
1600000US0169180,"Selmont-West Selmont CDP, Alabama",2250
1600000US0169240,"Semmes city, Alabama",4554
1600000US0169648,"Sheffield city, Alabama",9007
1600000US0169672,"Shelby CDP, Alabama",1413
1600000US0169840,"Shiloh town, Alabama",327
1600000US0169978,"Shoal Creek CDP, Alabama",1376
1600000US0170128,"Shorter town, Alabama",426
1600000US0170416,"Silas town, Alabama",465
1600000US0170536,"Silverhill town, Alabama",737
1600000US0170632,"Sims Chapel CDP, Alabama",117
1600000US0170704,"Sipsey town, Alabama",422
1600000US0170896,"Skyline town, Alabama",950
1600000US0171040,"Slocomb city, Alabama",1806
1600000US0171190,"Smiths Station city, Alabama",5311
1600000US0171201,"Smoke Rise CDP, Alabama",2383
1600000US0171280,"Snead town, Alabama",710
1600000US0171496,"Somerville town, Alabama",659
1600000US0171832,"Southside city, Alabama",8679
1600000US0171900,"South Vinemont town, Alabama",643
1600000US0171976,"Spanish Fort city, Alabama",8017
1600000US0172408,"Spring Garden CDP, Alabama",209
1600000US0172600,"Springville city, Alabama",4183
1600000US0172672,"Spruce Pine CDP, Alabama",172
1600000US0172720,"Standing Rock CDP, Alabama",104
1600000US0172816,"Stapleton CDP, Alabama",1568
1600000US0172888,"Steele town, Alabama",1050
1600000US0173056,"Sterrett CDP, Alabama",934
1600000US0173080,"Stevenson city, Alabama",1982
1600000US0173152,"Stewartville CDP, Alabama",1634
1600000US0173272,"Stockton CDP, Alabama",577
1600000US0173728,"Sulligent city, Alabama",1883
1600000US0173848,"Sumiton city, Alabama",2662
1600000US0173872,"Summerdale town, Alabama",995
1600000US0174160,"Susan Moore town, Alabama",646
1600000US0174304,"Sweet Water town, Alabama",323
1600000US0174352,"Sylacauga city, Alabama",12492
1600000US0174400,"Sylvania town, Alabama",2231
1600000US0174424,"Sylvan Springs town, Alabama",1598
1600000US0174592,"Talladega city, Alabama",15747
1600000US0174616,"Talladega Springs town, Alabama",261
1600000US0174688,"Tallassee city, Alabama",4970
1600000US0174976,"Tarrant city, Alabama",6238
1600000US0175096,"Taylor town, Alabama",2852
1600000US0175768,"Theodore CDP, Alabama",6536
1600000US0175936,"Thomaston town, Alabama",232
1600000US0175960,"Thomasville city, Alabama",4026
1600000US0176080,"Thorsby town, Alabama",2008
1600000US0176200,"Tibbie CDP, Alabama",34
1600000US0176208,"Tidmore Bend CDP, Alabama",1303
1600000US0176320,"Tillmans Corner CDP, Alabama",18150
1600000US0176584,"Town Creek town, Alabama",1070
1600000US0176632,"Toxey town, Alabama",174
1600000US0176680,"Trafford town, Alabama",654
1600000US0176824,"Triana town, Alabama",700
1600000US0176872,"Trinity town, Alabama",2068
1600000US0176920,"Troy city, Alabama",19010
1600000US0176944,"Trussville city, Alabama",21145
1600000US0177256,"Tuscaloosa city, Alabama",97373
1600000US0177280,"Tuscumbia city, Alabama",8452
1600000US0177304,"Tuskegee city, Alabama",8852
1600000US0177352,"Twin town, Alabama",440
1600000US0177580,"Underwood-Petersville CDP, Alabama",3867
1600000US0177616,"Union town, Alabama",264
1600000US0177784,"Union Grove town, Alabama",99
1600000US0177880,"Union Springs city, Alabama",3640
1600000US0177904,"Uniontown town, Alabama",2234
1600000US0178120,"Uriah CDP, Alabama",157
1600000US0178204,"Valley city, Alabama",9331
1600000US0178232,"Valley Grande city, Alabama",3815
1600000US0178240,"Valley Head town, Alabama",651
1600000US0178264,"Vance town, Alabama",1600
1600000US0178312,"Vandiver CDP, Alabama",1021
1600000US0178480,"Vernon city, Alabama",1956
1600000US0178552,"Vestavia Hills city, Alabama",34003
1600000US0178984,"Vina town, Alabama",327
1600000US0179008,"Vincent town, Alabama",2142
1600000US0179032,"Vinegar Bend CDP, Alabama",368
1600000US0179272,"Vredenburgh town, Alabama",205
1600000US0179344,"Wadley town, Alabama",795
